春秋	左傳
母	遺
繄	我
我	獨
獨	無
潁考叔	曰
敢	問
問	何
何	謂
謂	也
公	語
語	之
之	故
且	告
告	之
之	悔
對	曰
君	何
何	患
患	焉
若	闕
闕	地
地	及
及	泉
隧	而
而	相見
其	誰曰
誰曰	不
不	然
公	從
從	之
公	入
入	而
而	賦
大隧	之中
其	樂
樂	也
也	融融
姜	出
出	而
而	賦
大隧	之外
其	樂
樂	也
也	洩洩
遂	爲
爲	母子
母子	如
如	初
君子	曰
純	孝
孝	也
愛	其
其	母
施及	莊公
詩	曰
孝子	不
不	匱
永	錫
錫	爾
爾	類
其	是
是	之
之	謂
謂	乎
秋	七月
天王	使
使	宰
宰	咺
咺	來
來	歸
歸	惠公
仲子	之
之	賵
且	子氏
子氏	未
未	薨
故	名
天子	七月
七月	而
而	葬
同軌	畢
畢	至
諸侯	五月
同盟	至
大夫	三月
同位	至
士	踰
踰	月
外姻	至
贈	死
死	不
不	及
及	尸
弔	生
生	不
不	及
及	哀
豫	凶事
非	禮
禮	也
紀	人
人	伐
伐	夷
夷	不
不	告
故	不
不	書
有	蜚
不	爲
爲	災
亦	不
不	書
惠公	季年
敗	宋師
宋師	于
于	黃
公	立
立	而
而	求
求	成
成	焉
及	宋
宋	人
人	盟
盟	于
于	宿
始	通
通	也
冬	十月
十月	庚申
改葬	惠公
公	弗
弗	臨
故	不
不	書
惠公	之
之	薨
薨	也
有	宋
宋	師
大子	少
葬	故
故	有
有	闕
是	以
以	改葬
衞侯	來
來	會葬
不	見
見	公
亦	不
不	書
鄭共叔	之
之	亂
公孫滑	出奔
出奔	衞
衞人	爲
爲	之
之	伐
伐	鄭
取	廪延
鄭人	以
以	王師
虢師	伐
伐	衞
衞	南鄙
請	師
師	于
于	邾
邾子	使
使	私
私	于
于	公子豫
豫	請
請	往
公	弗
弗	許
遂	行
及	邾人
鄭人	盟
盟	于
于	翼
不	書
非	公命
公命	也
新作	南門
不	書
亦	非
非	公命
公命	也
祭伯	來
非	王命
王命	也
衆父	卒
公	不
不	與
與	小斂
故	不
不	書
書	日
二年	春
公	會
會	戎
戎	于
于	潛
修	惠公
惠公	之
之	好
好	也
戎	請
請	盟
公	辭
莒子	娶
娶	于
于	向
向姜	不
不	安
安	莒
莒	而
而	歸
莒人	入
入	向
以	姜氏
姜氏	還
司空	無駭
無駭	入
入	極
費庈父	勝
勝	之
戎	請
請	盟
盟	于
于	唐
復	修
修	戎
戎	好
好	也
紀裂繻	來
來	逆
逆	女
卿	爲
爲	君
君	逆
逆	也
莒子	盟
盟	于
于	密
魯	故
故	也
鄭人	伐
伐	衞
討	公孫滑
公孫滑	之
之	亂
亂	也
三年	春
王	三月
平王	崩
赴	以
以	庚戌
故	書
書	之
君氏	卒
聲子	也
不	赴
赴	于
于	諸侯
不	反哭
反哭	于
于	寢
不	祔
祔	于
于	姑
故	不
不	曰
不	稱
稱	夫人
故	不
不	言
言	葬
不	書
書	姓
爲	公
公	故
莊公	爲
爲	平王
平王	卿士
王	貳
貳	于
于	虢
鄭伯	怨
怨	王
王	曰
無	之
故	周
鄭	交質
王子狐	爲
爲	質
質	於
於	鄭
鄭公子忽	爲
爲	質
質	於
於	周
王	崩
周人	將
將	畀
畀	虢公
虢公	政
鄭祭足	帥
帥	師
師	取
取	溫
溫	之
之	麥
又	取
取	成周
成周	之
之	禾
鄭	交惡
君子	曰
信	不
不	由
由	中
質	無
無	益
益	也
明	恕
恕	而
而	行
要	之
之	以
以	禮
雖	無
無	有
有	質
誰	能
能	間
間	之
苟	有
有	明信
沚	之
之	毛
蕰藻	之
之	菜
釜	之
之	器
行潦	之
之	水
可	薦
薦	於
於	鬼神
可	羞
羞	於
於	王公
而	況
況	君子
君子	結
結	二
二	國
國	之
之	信
行	之
之	以
以	禮
又	焉
焉	用
用	質
風	有
有	采蘩
雅	有
有	行葦
昭	忠信
忠信	也
武氏	子
子	來
來	求
求	賻
王	未
未	葬
葬	也
宋穆公	疾
召	大司馬
大司馬	孔父
孔父	而
而	屬
屬	殤公
殤公	焉
先君	舍
舍	與夷
與夷	而
而	立
立	寡人
寡人	弗
弗	敢
敢	忘
若	以
以	大夫
大夫	之
之	靈
得	保
保	首
首	領
領	以
以	沒
先君	若
若	問
問	與夷
其	將
將	何
何	辭
辭	以
以	對
請	子
子	奉
奉	之
以	主
主	社稷
寡人	雖
雖	死
亦	無
無	悔
悔	焉
對	曰
羣	臣
臣	願
願	奉
奉	馮
馮	也
公	曰
不	可
先君	以
以	寡人
寡人	爲
爲	賢
使	主
主	社稷
若	棄
棄	德
德	不
不	讓
是	廢
廢	先君
先君	之
之	舉
舉	也
豈	曰
曰	能
能	賢
光昭	先君
先君	之
之	令德
可	不
不	務
務	乎
吾子	其
其	無
無	廢
廢	先君
先君	之
之	功
使	公子馮
公子馮	出
出	居
居	于
于	鄭
八月	庚辰
宋穆公	卒
殤公	卽位
君子	曰
宋宣公	可
可	謂
謂	知人
知人	矣
立	穆公
其	子
子	饗
饗	之
命	以
以	義夫
商	頌
頌	曰
殷	受
受	命
命	咸宜
百祿	是
是	荷
其	是
是	之
之	謂
謂	乎
鄭	盟
盟	于
于	石門
尋盧	之
之	盟
盟	也
鄭伯	之
之	車
車	僨
僨	于
于	濟
衞莊公	娶
娶	于
于	齊
齊	東宫
東宫	得
得	臣
臣	之
之	妹
曰	莊姜
美	而
而	無
無	子
衞人	所
所	爲
爲	賦
賦	碩人
碩人	也
又	娶
娶	于
于	陳
曰	厲嬀
生	孝伯
早	死
其	娣
娣	戴嬀
生	桓公
莊姜	以
以	爲
爲	己
己	子
公子	州吁
嬖人	之
之	子
子	也
有	寵
寵	而
而	好
好	兵
公	弗
弗	禁
莊姜	惡
惡	之
石碏	諫
諫	曰
臣	聞
聞	愛
愛	子
教	之
之	以
以	義方
弗	納
納	於
於	邪
所	自
自	邪
邪	也
四者	之
之	來
寵	祿
祿	過
過	也
將	立
立	州吁
乃	定
定	之
之	矣
若	猶
猶	未
未	也
階	之
之	爲
爲	禍
夫	寵
寵	而
而	不
不	驕
驕	而
而	能
能	降
降	而
而	不
不	憾
憾	而
而	能
能	眕
眕	者
鮮	矣
且夫	賤
賤	妨
妨	貴
少	陵
陵	長
遠	間
間	親
新	間
間	舊
小	加
加	大
淫	破
破	義
所	謂
謂	六
六	逆
逆	也
所	謂
謂	六
六	順
順	也
去	順
順	效
效	逆
所以	速
速	禍
禍	也
君	人
人	者
將	禍
禍	是
是	務去
而	速
速	之
無乃	不
不	可
可	乎
弗	聽
其	子
子	厚
厚	與
與	州吁
州吁	游
禁	之
不	可
桓公	立
乃	老
四年	春
衞州吁	弑
弑	桓公
桓公	而
而	立
公	與
與	宋公
宋公	爲
爲	會
將	尋
尋	宿
宿	之
之	盟
未	及
及	期
衞人	來
來	告
告	亂
公	及
及	宋公
宋公	遇
遇	于
于	清
宋殤公	之
之	卽位
卽位	也
公子馮	出奔
出奔	鄭
鄭人	欲
欲	納
納	之
及	衞州吁
衞州吁	立
將	修
修	先君
先君	之
之	怨
怨	于
于	鄭
而	求
求	寵
寵	於
於	諸侯
以	和
和	其
其	民
使	告
告	於
於	宋
宋	曰
君	若
若	伐
伐	鄭
以	除
除	君害
君	爲
爲	主
敝邑	以
以	賦
賦	與
與	陳
蔡	從
則	衞國
衞國	之
之	願
願	也
宋人	許
許	之
於	是
是	陳
蔡	方
方	睦
睦	於
於	衞
故	宋公
衞人	伐
伐	鄭
圍	其
其	東門
五	日
日	而
而	還
公	問
問	於
於	衆仲
衆仲	曰
衞州吁	其
其	成
成	乎
對	曰
臣	聞
聞	以
以	德
德	和
和	民
不	聞
聞	以
以	亂
以	亂
猶	治
治	絲
絲	而
而	棼
棼	之
之	也
夫	州吁
阻	兵
兵	而
而	安
安	忍
阻	兵
無	衆
安	忍
無	親
衆	叛
親	離
難	以
以	濟
濟	矣
夫	兵
猶	火
火	也
弗	戢
將	自焚
自焚	也
夫	州吁
州吁	弑
弑	其
其	君
而	虐
虐	用
用	其
其	民
於	是
是	乎
乎	不
不	務
務	令德
而	欲
欲	以
以	亂
亂	成
必	不
不	免
免	矣
諸侯	復
復	伐
伐	鄭
宋公	使
使	來
來	乞
乞	師
公	辭
辭	之
羽父	請
請	以
以	師
師	會
會	之
公	弗
弗	許
固	請
請	而
而	行
故	書
書	曰
翬	帥
帥	師
疾	之
之	也
諸侯	之
之	師
師	敗
敗	鄭
鄭	徒兵
取	其
其	禾
禾	而
而	還
州吁	未
未	能
能	和
和	其
其	民
厚	問
問	定
定	君
君	於
於	石子
石子	曰
王	覲
覲	爲
爲	可
何	以
以	得
得	覲
陳桓公	方
方	有
有	寵
寵	於
於	王
衞	方
方	睦
若	朝
朝	陳
陳	使
使	請
必	可
可	得
得	也
厚	從
從	州吁
州吁	如
如	陳
石碏	使
使	告
告	于
于	陳
陳	曰
衞國	褊小
老夫	耄
耄	矣
無	能
能	爲
爲	也
此	二
二	人
人	者
實	弑
弑	寡君
敢	卽
卽	圖
圖	之
陳人	執
執	之
而	請
請	涖
涖	于
于	衞
衞人	使
使	右宰
右宰	醜
醜	涖殺
涖殺	州吁
州吁	于
于	濮
石碏	使
使	其
其	宰
宰	獳羊肩
獳羊肩	涖殺
涖殺	石厚
石厚	于
于	陳
君子	曰
純	臣
臣	也
惡	州吁
州吁	而
而	厚
厚	與
與	焉
大義	滅
滅	親
其	是
是	之
之	謂
謂	乎
衞人	逆
逆	公子
公子	晉
晉	于
于	邢
冬	十二月
十二月	宣公
宣公	卽位
書	曰
衞人	立
立	晉
衆	也
五年	春
公	將
將	如
如	棠
棠	觀
觀	魚
魚	者
臧僖伯	諫
諫	曰
凡	物
物	不
不	足
足	以
以	講
講	大事
其	材
材	不
不	足
足	以
以	備
備	器用
則	君
君	不
不	舉
舉	焉
將	納
納	民
民	於
於	軌
物者	也
故	講事
講事	以
以	度
度	軌量
軌量	謂
謂	之
之	軌
取材	以
以	章
章	物采
物采	謂
謂	之
之	物
不	軌
軌	不
不	物
謂	之
之	亂政
亂政	亟
亟	行
所以	敗
敗	也
故	春蒐
皆	於
於	農隙
農隙	以
以	講事
講事	也
三	年
年	而
而	治兵
入	而
而	振旅
歸	而
而	飲至
以	數
數	軍實
昭	文章
明	貴賤
辨	等列
順	少長
習	威儀
威儀	也
鳥獸	之
之	肉
肉	不
不	登
登	於
於	俎
毛羽	不
不	登
登	於
於	器
則	公
公	不
不	射
古	之
之	制
制	也
若夫	山林
川澤	之
之	實
器用	之
之	資
皁隸	之
之	事
官司	之
之	守
非	君
君	所
所	及
及	也
公	曰
吾	將
將	略
略	地
地	焉
遂	往
陳	魚
魚	而
而	觀
觀	之
僖伯	稱
稱	疾
疾	不
不	從
書	曰
公	矢
矢	魚
魚	于
于	棠
非	禮
禮	也
且	言
言	遠地
遠地	也
曲沃莊伯	以
以	鄭人
邢人	伐
伐	翼
王	使
使	尹氏
武氏	助
助	之
翼侯	奔
奔	隨
葬	衞桓公
衞	亂
是	以
以	緩
鄭人	侵
侵	衞牧
以	報
報	東門
東門	之
之	役
衞人	以
以	燕師
燕師	伐
伐	鄭
鄭	祭足
洩駕	以
以	三軍
三軍	軍
軍	其
其	前
使	曼伯
曼伯	與
與	子元
子元	潛
潛	軍
軍	軍
軍	其
其	後
燕人	畏
畏	鄭
鄭	三軍
而	不
不	虞
虞	制人
鄭	二公子
二公子	以
以	制人
制人	敗
敗	燕
燕	師
師	于
于	北制
君子	曰
不	備
備	不
不	虞
不	可以
可以	師
曲沃	叛
叛	王
王	命
命	虢公
虢公	伐
伐	曲沃
而	立
立	哀侯
哀侯	於
於	翼
衞	之
之	亂
亂	也
郕人	入
入	衞
故	衞師
衞師	入
入	郕
考	仲子
仲子	之
之	宫
將	萬
萬	焉
公	問
問	羽數
羽數	於
於	衆仲
對	曰
天子	用
用	八
諸侯	用
用	六
大夫	四
士	二
夫	舞
所以	節
節	八音
八音	而
而	行
行	八風
故	自
自	八
八	以下
公	從
從	之
於是	初
初	獻
獻	六羽
始	用
用	六佾
六佾	也
宋人	取
取	邾田
邾人	告
告	於
於	鄭
鄭	曰
請	君
君	釋
釋	憾
憾	於
於	宋
敝邑	爲
爲	道
鄭人	以
以	王師
王師	會
會	之
伐	宋
入	其
其	郛
以	報
報	東門
東門	之
之	役
宋人	使
使	來
來	告
告	命
公	聞
聞	其
其	入
入	郛
郛	也
將	救
救	之
問	於
於	使者
使者	曰
師	何
何	及
對	曰
未	及
及	國
公	怒
乃	止
辭	使者
使者	曰
君	命
命	寡人
寡人	同
同	恤
恤	社稷
社稷	之
之	難
今	問
問	諸
諸	使者
師	未
未	及
及	國
非	寡人
寡人	之
之	所
所	敢知
敢知	也
冬	十二月
十二月	辛巳
臧僖伯	卒
公	曰
叔父	有
有	憾
憾	於
於	寡人
寡人	弗
弗	敢
敢	忘
葬	之
之	加
加	一等
宋人	伐
伐	鄭
圍	長葛
以	報
報	入
入	郛
郛	之
之	役
役	也
六年	春
鄭人	來
來	渝平
更	成
成	也
翼	九宗五正
九宗五正	頃父
頃父	之
之	子
子	嘉父
嘉父	逆
逆	晉侯
晉侯	于
于	隨
納	諸
諸	鄂
晉人	謂
謂	之
之	鄂侯
盟	于
于	艾
始	平
平	于
于	齊
齊	也
五月	庚申
鄭伯	侵
侵	陳
鄭伯	請
請	成
成	于
于	陳
陳侯	不
不	許
五父	諫
諫	曰
親	仁
善	鄰
國	之
之	寶
寶	也
君	其
其	許
許	鄭
陳侯	曰
衞	實
實	難
鄭	何
何	能
能	爲
遂	不
不	許
君子	曰
善	不
不	可
可	失
惡	不
不	可
可	長
其	陳桓公
陳桓公	之
之	謂
謂	乎
長	惡
惡	不
不	悛
從	自
自	及
及	也
雖	欲
欲	救
救	之
其	將
將	能
能	乎
商書	曰
惡	之
之	易
易	也
如	火
火	之
之	燎
燎	于
于	原
不	可
可	鄉
鄉	邇
其	猶
猶	可
可	撲滅
周任	有
有	言
言	曰
爲	國
國	家
家	者
見	惡
如	農夫
農夫	之
之	務
務	去
去	草
草	焉
芟夷	蕰崇
蕰崇	之
絶	其
其	本根
勿	使
使	能
能	殖
則	善者
善者	信
信	矣
宋人	取
取	長葛
京師	來
來	告
告	飢
公	爲
爲	之
之	請
請	糴
糴	於
於	宋
禮	也
鄭伯	如
如	周
始	朝
朝	桓王
桓王	也
王	不
不	禮
禮	焉
周桓公	言
言	於
於	王
王	曰
我	周
周	之
之	東
東	遷
鄭	焉
焉	依
善	鄭
鄭	以
以	勸
勸	來者
猶	懼
懼	不
不	蔇
況	不
不	禮
禮	焉
鄭	不
不	來
來	矣
七年	春
滕侯	卒
不	書
書	名
未	同盟
同盟	也
凡	諸侯
諸侯	同盟
於	是
是	稱
稱	名
故	薨
薨	則
則	赴
赴	以
以	名
稱	嗣
嗣	也
以	繼
繼	好
好	息
息	民
謂	之
之	禮經
城	中丘
不	時
時	也
齊侯	使
使	夷仲年
夷仲年	來
來	聘
結	艾
艾	之
之	盟
盟	也
宋	及
及	鄭
鄭	平
七月	庚申
盟	于
于	宿
公	伐
伐	邾
爲	宋
宋	討
討	也
戎	朝
朝	于
于	周
發	幣
幣	于
于	公卿
凡伯	弗
弗	賓
王	使
使	凡伯
凡伯	來
來	聘
戎	伐
伐	之
之	于
于	楚丘
楚丘	以
以	歸
陳	及
及	鄭
鄭	平
陳五父	如
如	鄭
鄭	涖
涖	盟
及	鄭伯
鄭伯	盟
歃	如
如	忘
洩伯	曰
五父	必
必	不
不	免
不	賴
賴	盟
盟	矣
鄭良佐	如
如	陳
陳	涖
涖	盟
及	陳侯
陳侯	盟
亦	知
知	陳
陳	之
之	將
將	亂
亂	也
鄭	公子忽
公子忽	在
在	王所
故	陳侯
陳侯	請
請	妻
妻	之
鄭伯	許
許	之
乃	成昏
八年	春
齊侯	將
將	平
平	宋
有	會期
宋公	以
以	幣
幣	請
請	於
於	衞
請	先
先	相見
衞侯	許
許	之
故	遇
遇	于
于	犬丘
鄭伯	請
請	釋
釋	泰山
泰山	之
之	祀
祀	而
而	祀
祀	周公
以	泰山
泰山	之
之	祊
祊	易
易	許田
鄭伯	使
使	宛
宛	來
來	歸
歸	祊
不	祀
祀	泰山
泰山	也
虢公忌父	始
始	作
作	卿士
卿士	于
于	周
四月	甲辰
鄭公子忽	如
如	陳
陳	逆
逆	婦
婦	嬀
以	嬀氏
嬀氏	歸
入	于
于	鄭
陳鍼子	送
送	女
先	配
配	而
而	後
後	祖
鍼子	曰
是	不
不	爲
爲	夫婦
誣	其
其	祖
祖	矣
非	禮
禮	也
何	以
以	能
能	育
齊人	卒
卒	平
平	宋
衞	于
于	鄭
會	于
于	溫
盟	于
于	瓦屋
以	釋
釋	東門
東門	之
之	役
禮	也
八月	丙戌
鄭伯	以
以	齊人
齊人	朝
朝	王
禮	也
公	及
及	莒人
莒人	盟
盟	于
于	浮來
以	成
成	紀
紀	好
好	也
齊侯	使
使	來
來	告
告	成
成	三
三	國
公	使
使	衆仲
衆仲	對
對	曰
君	釋
釋	三
三	國
國	之
之	圖
以	鳩
鳩	其
其	民
君	之
之	惠
惠	也
寡君	聞
聞	命
命	矣
敢	不
不	承受
承受	君
君	之
之	明德
無駭	卒
羽父	請
請	諡
諡	與
與	族
公	問
問	族
族	於
於	衆仲
衆仲	對
對	曰
天子	建
建	德
因	生
生	以
以	賜
賜	姓
胙	之
之	土
土	而
而	命
命	之
之	氏
諸侯	以
以	字
字	爲
爲	諡
因	以
以	爲
爲	族
官	有
有	世功
則	有
有	官族
邑	亦
亦	如
如	之
公	命
命	以
以	字
字	爲
爲	展氏
九年	春
春	王
王	三月
三月	癸酉
大	雨
雨	霖
霖	以
以	震
書	始
始	也
大	雨
雨	雪
亦	如
如	之
時	失
失	也
凡	雨
自	三
三	日
日	以
以	往
往	爲
爲	霖
平地	尺
尺	爲
爲	大雪
城	郎
不	時
時	也
宋公	不
不	王
鄭伯	爲
爲	王
王	左卿士
以	王命
王命	討
討	之
伐	宋
宋	以
以	入
入	郛
郛	之
之	役
役	怨
怨	公
不	告
告	命
公	怒
絶	宋使
鄭人	以
以	王命
王命	來
來	告
告	伐
伐	宋
公	會
會	齊侯
齊侯	于
于	防
謀	伐
伐	宋
宋	也
北戎	侵
侵	鄭
鄭伯	禦
禦	之
患	戎師
彼	徒
徒	我
我	車
懼	其
其	侵軼
侵軼	我
我	也
公子突	曰
使	勇
勇	而
而	無
無	剛
剛	者
嘗	寇
寇	而
而	速
速	去
去	之
君	爲
爲	三
三	覆
覆	以
以	待
待	之
戎	輕
輕	而
而	不
不	整
貪	而
而	無
無	親
勝	不
不	相讓
敗	不
不	相救
先者	見
見	獲
必	務
務	進
進	而
而	遇
遇	覆
必	速
速	奔
後者	不
不	救
則	無
無	繼
繼	矣
乃	可
可	以
以	逞
從	之
戎人	之
之	前
前	遇
遇	覆者
覆者	奔
祝聃	逐
逐	之
衷	戎師
前後	擊
擊	之
盡	殪
戎師	大奔
十一月	甲寅
鄭人	大敗
大敗	戎師
十年	春
春	王
王	正月
公	會
會	齊侯
鄭伯	于
于	中丘
盟	于
于	鄧
爲	師期
夏	五月
羽父	先
先	會
會	齊侯
鄭伯	伐
伐	宋
六月	戊申
公	會
會	齊侯
鄭伯	于
于	老桃
公	敗
敗	宋師
宋師	于
于	菅
鄭師	入
入	郜
歸	于
于	我
鄭師	入
入	防
歸	于
于	我
君子	謂
謂	鄭莊公
于	是
是	乎
乎	可
可	謂
謂	正
正	矣
以	王命
王命	討
討	不
不	庭
不	貪
貪	其
其	土
以	勞
勞	王爵
正	之
之	體
體	也
郕人	不
不	會
會	王命
秋	七月
七月	庚寅
鄭師	入
入	郊
猶	在
在	郊
衞人	入
入	鄭
蔡人	從
從	之
之	伐
伐	戴
八月	壬戌
鄭伯	圍
圍	戴
克	之
取	三
三	師
師	焉
衞	旣
旣	入
入	鄭
而	以
以	伐
伐	戴
戴	召
召	蔡人
蔡人	怒
故	不
不	和
和	而
而	敗
九月	戊寅
鄭伯	入
入	宋
鄭人	入
入	郕
討	違
違	王命
王命	也
十一年	春
薛侯	來
來	朝
爭	長
薛侯	曰
我	先
先	封
滕侯	曰
周	之
之	卜正
卜正	也
庶姓	也
我	不
不	可以
可以	後
後	之
公	使
使	羽父
羽父	請
請	於
於	薛侯
薛侯	曰
君	與
與	滕君
滕君	辱
辱	在
在	寡人
周諺	有
有	之
之	曰
山	有
有	木
工	則
則	度
度	之
賓	有
有	禮
主	則
則	擇
擇	之
周	之
之	宗盟
異姓	爲
爲	後
寡人	若
若	朝
朝	于
于	薛
不	敢
敢	與
與	諸
諸	任齒
君	若
若	辱貺
辱貺	寡人
則	願
願	以
以	滕君
滕君	爲
爲	請
薛侯	許
許	之
乃	長
長	滕侯
公	會
會	鄭伯
鄭伯	于
于	郲
謀	伐
伐	許
許	也
鄭伯	將
將	伐
伐	許
五月	甲辰
授兵	於
於	大宫
公孫閼	與
與	潁考叔
潁考叔	爭
爭	車
潁考叔	挾
挾	輈
輈	以
以	走
子都	拔
拔	棘
棘	以
以	逐
逐	之
及	大逵
弗	及
子都	怒
秋	七月
公	會
會	齊侯
鄭伯	伐
伐	許
傅	于
于	許
潁考叔	取
取	鄭伯
鄭伯	之
之	旗
旗	蝥弧
蝥弧	以
以	先
先	登
子都	自
自	下
下	射
射	之
瑕叔盈	又
又	以
以	蝥弧
蝥弧	登
周	麾
麾	而
而	呼
呼	曰
許莊公	奔
奔	衞
齊侯	以
以	許
許	讓公
公	曰
君	謂
謂	許
許	不
不	共
故	從
從	君
君	討
討	之
許	旣
旣	服
服	其
其	罪
罪	矣
雖	君
君	有
有	命
寡人	弗
弗	敢
敢	與
與	聞
乃	與
與	鄭人
鄭伯	使
使	許
許	大夫
大夫	百里
百里	奉
奉	許叔
許叔	以
以	居
居	許
許	東偏
天	禍
禍	許國
鬼神	實
實	不
不	逞
逞	于
于	許君
而	假手
假手	于
于	我
我	寡人
寡人	唯
唯	是
是	一二
一二	父兄
父兄	不能
不能	共億
其	敢
敢	以
以	許
許	自
自	爲
爲	功
功	乎
寡人	有
有	弟
不能	和協
而	使
使	餬
餬	其
其	口
口	于
于	四方
其	況
況	能
能	久
久	有
有	許
許	乎
吾子	其
其	奉
奉	許叔
許叔	以
以	撫柔
撫柔	此
此	民
民	也
吾	將
將	使
使	獲
獲	也
也	佐
佐	吾子
若	寡人
寡人	得沒
得沒	于
于	地
天	其
其	以
以	禮
禮	悔
悔	禍
禍	于
于	許
無寧	茲
茲	許公
許公	復
復	奉
奉	其
其	社稷
唯	我
我	鄭國
鄭國	之
之	有
有	請謁
請謁	焉
如	舊
舊	昏媾
其	能
能	降
降	以
以	相從
相從	也
無滋	他族
他族	實
實	偪
偪	處
處	此
以	與
與	我
我	鄭國
鄭國	爭
爭	此
此	土
土	也
吾	子孫
子孫	其
其	覆亡
覆亡	之
之	不暇
而	況能
況能	禋祀
禋祀	許
許	乎
寡人	之
之	使
使	吾子
吾子	處
處	此
不唯	許國
許國	之
之	爲
亦	聊以
聊以	固
固	吾圉
吾圉	也
乃	使
使	公孫獲
公孫獲	處
處	許
許	西偏
凡而	器用
器用	財賄
無	寘
寘	於
於	許
我	死
乃	亟
亟	去
去	之
王室	而
而	旣
旣	卑
卑	矣
周	之
之	子孫
子孫	日
日	失
失	其
其	序
夫	許
大岳	之
之	胤
胤	也
天	而
而	旣
旣	厭
厭	周德
周德	矣
吾	其
其	能
能	與
與	許
許	爭
爭	乎
君子	謂
謂	鄭莊公
於	是
是	乎
乎	有
有	禮
經	國家
定	社稷
序	民人
利	後嗣
後嗣	也
無刑	而
而	伐
伐	之
服	而
而	舍
舍	之
度	德
德	而
而	處
處	之
量力	而
而	行
行	之
相時	而
而	動
無	累
累	後人
可	謂
謂	之
之	禮
禮	矣
鄭伯	使
使	卒
卒	出
出	豭
行	出
出	犬
以	詛
詛	射
射	潁考叔
潁考叔	者
君子	謂
謂	鄭莊公
失	政刑
政刑	矣
政	以
以	治民
刑	以
以	正邪
旣	無
無	德政
又	無
無	威刑
是以	及
及	邪
邪	而
而	詛
詛	之
將	何
何	益
益	矣
王	取
取	鄔
汙	之
之	田
田	于
于	鄭
而	與
與	鄭人
鄭人	蘇忿生
蘇忿生	之
之	田
君子	是以
是以	知
知	桓王
桓王	之
之	失
失	鄭
鄭	也
恕	而
而	行
行	之
德	之
之	則
則	也
禮	之
之	經
經	也
己	弗
弗	能
能	有
而	以
